Status,Device Type,Available Location,Product Name,Product Description,Product Series,Processor,Processor Manufacturer,Processor Model,No. of Cores,Processor Speed (GHz),Memory,Memory Capacity (GB),Memory Manufacturer,Memory Type,Memory Form Factor,Graphics,Graphics Manufacturer,Graphics Model,Product Availability,Part No.,Configuration ID,Operating System,Storage,Storage Size (GB),Storage Type,Screen Information,Screen Resolution,Peripherals,Size,Weight,Color,Warranty,Product Price,Currency,URL,User Category,Device Sub Category,Type,Purchase Type
Active,harddisk,US,HP ProDesk 400 G4,HP ProDesk 400 G4,HP ProDesk 400 G4,Intel Core i5-8500T 8th Generation,Intel,i5-8500T,6,2.1,8GB,8,DRAM,,DIMM,Intel UHD 630 Graphics,Intel,UHD 630,In Stock,4BC39UT#ABA,29694762,Windows 10 Pro 64 US,SSD 256GB|SSD 512 GB,256|512,SSD|SSD,,1920x1080,,512,4,Red,,679,USD,https://www.google.com/,Knowledge Worker,Sub Knowledge Worker,Netbanking,Cash
Active,harddisk,US,HP Elite Desk 800 G4,HP Elite Desk 800 G4,HP Elite Desk 800 G4,Intel Core i5-8500T 8th Generation,Intel,i5-8500T,6,2.1,8GB,8,SRAM,,DIMM,Intel UHD 630 Graphics,Intel,UHD 630,In Stock,4CB3OUT#ABA,29694763,Windows 10 Pro 64 US,SSD 256GB M.2 Pcle NVME,256,NVMe,,1920x1081,,512,5,Green,,839,USD,https://www.google.com/,Knowledge Worker,Sub Knowledge Worker,Netbanking,Credit card
Active,Workstation,US,HP Z240 TWR,HP Z240 TWR,HP Z240 TWR,Intel Core i7-7700 3.6 8M 4C TWR CPU,Intel,i7-7700,4,3.6,8GB DDR4-2133 nECC (1x8GB) RAM,8,SRAM,DDR4,DIMM,Intel HD 630 Graphics,Intel,HD 630,In Stock,2TF24UT#ABA,29694764,Windows 10 Pro 64 US,1TB 7200 RPM SATA 1st HDD,1000,HDD 7200,,1920x1082,9.5mm Slim DVD-Writer 1st ODD | HP USB Keyboard | HP USB Optical Mouse,512,6,Green,HP 3/3/3 Tower Warranty,1059,USD,https://www.google.com/,Knowledge Worker,Sub Knowledge Worker,Netbanking,Credit card
Active,Notebook,US,HP ProBook 640 G4 ,HP ProBook 640 G4 ,HP ProBook 640 G4 ,"Intel Core i5-8350U 1.70GHz, 6 MB cache, 4 Core",Intel,i5-8350U,4,1.7,8GB 2400 1D,8,DRAM,2400 1D,DIMM,Intel UHD 620 Graphics,Intel,UHD 620,In Stock,3XJ62UT#ABA,29694765,Windows 10 Pro 64 US,"SSD 256 GB, TLC, PCIe",256,SSD,14.0 LED FHD UWVA AG,1920x1083,,512,7,Green,,1229,USD,https://www.google.com/,Road Warrior,Sub Knowledge Worker,Netbanking,Credit card
Active,harddisk,US,HP EliteBook 840 G5 ,HP EliteBook 840 G5 ,HP EliteBook 840 G5 ,"Intel Core i5-8350U 1.70GHz, 6 MB cache, 4 Core",Intel,i5-8350U,4,1.7,8GB 2400 1D,8,DRAM,,DIMM,Intel UHD 620 Graphics,Intel,UHD 620,In Stock,3RF11UT#ABA,29694766,Windows 10 Pro 64 US,SSD 256 GB M2 TLC SED,256,SSD,"14"" FHD 700 nit (1920x1080) Sure View TSUMA",1920x1080,,512,8,Green,,1649,USD,https://www.google.com/,Road Warrior,Sub Knowledge Worker,Netbanking,Credit card
Active,graphics,US,HP EliteBook x360 1030 G2 ,HP EliteBook x360 1030 G2 ,HP EliteBook x360 1030 G2 ,"Intel Core i7-7600U 2.80GHz, 4 MB cache",Intel,i7-7600U,2,2.5,16 GB 2133 DDR4,16,DRAM,DDR4,DIMM,Intel HD 620 Graphics,Intel,HD 620,In Stock,1NM41UT#ABA,29694767,Windows 10 Pro 64 US,512 GB M2 TLC PCIe,512,NVMe,"13.3"" FJD (1920x1080) Sure View TSUMA",1920x1080,,512,9,Green,,2179,USD,https://www.google.com/,Road Warrior,Sub Knowledge Worker,Netbanking,Credit card
Active,Desktop,US,AiO 23.8” Touch,AiO 23.8” Touch,,Intel Core i7-8700 12 MB Cache,Intel,i7-8700,6,3.2,8GB DDR 2666,8,DRAM,DDR 2666,DIMM,Intel UHD 630 Graphics,Intel,HD 360,In Stock,4HY60UT#ABA,29694768,Windows 10 Pro 64 US,1TB HDD,1000,HDD,,1920x1081,,512,10,Green,,1519,USD,https://www.google.com/,Executive Compute,Sub Knowledge Worker,Netbanking,Credit card
Retired,Desktop,US,HP EliteDesk 800 G3 35W DM PC,HP EliteDesk 800 G3 35W DM PC,HP EliteDesk 800 G3,Intel 7500 T7 Gen Core i5-4C,Intel,i5-7500T,4,2.7,8GB (1x8GB) DDR4 2400,8,DRAM,DDR4 2400,DIMM,Intel HD 630 Graphics,Intel,HD 630,In Stock,3MQ24US#ABA ,29694769,Windows 10 Pro 64 US,SSD 256GB PCIe NVMe TLC,256,NVMe,,1920x1082,HP Optical USB Mouse| WLAN I 8265 ac 2x2 +BT 4.2 WW | 65 Watt DM Ext Power Adapter EPS,1024,11,Green,WARR 3/3/3 DM US,1520,INR,https://www.google.com/,,Sub Knowledge Worker,Netbanking,Cash
Retired,Desktop,US,HP 800G3EDeD/i57500T/256p/16C/54k US,HP 800G3EDeD/i57500T/256p/16C/54k US,,Intel 7500 T7 Gen Core i5-4C,Intel,i5-7500T,4,2.7,16GB (1x16GB) DDR4 2400,16,DRAM,DDR4 2400,RDIMM,Intel HD 630 Graphics,Intel,HD 630,In Stock,4QZ92US#ABA,29694770,Windows 10 Pro 64 US,SSD 256G M.2 2280 PCIe NVMe TLC,256,NVMe,,1920x1083,HP Desktop Mini Vertical Chassis Stand | MUS WD USB OPT | WLAN I 8265 ac 2x2 +BT 4.2 WW,1024,12,Green,WARR 3/3/3 DM US,1521,INR,https://www.google.com/,,Sub Knowledge Worker,Cashs,Cash
Retired,Notebook,US,E840G5U57300UJN256FINCN16NNue US,E840G5U57300UJN256FINCN16NNue US,,Intel Core i5-7300U Processor,Intel,i5-7300U,2,2.6,16GB (1x16GB) DDR4 2400,16,DRAM,DDR4 2400,RDIMM,Intel HD 620 Graphics ,Intel,HD 620,Out of stock,4RC09US#ABA,29694771,Windows 10 Pro 64 US,SSD 256GB M2 SATA-3 SED OPAL2 TLC,256,SSD,,1920x1084,SEC Active SmartCard | SEC Fingerprint Sensor | WEBCAM Integrated HD 720p TM | WLAN I 8265 ac 2x2 +BT 4.2 WW 2Ant,1024,13,Red,WARR 3/3/0 US,1522,INR,https://www.google.com/,,Sub Knowledge Worker,Cash,Cash
